Price,Close,High,Low,Open,Volume
Ticker,ADANIPORTS.NS,ADANIPORTS.NS,ADANIPORTS.NS,ADANIPORTS.NS,ADANIPORTS.NS
Date,,,,,
2007-11-27,173.68063354492188,187.4446849414132,139.45160135737984,139.45160135737984,27262365
2007-11-28,160.27880859375,179.113835191954,158.40435487789622,175.67281845868644,21958915
2007-11-29,160.6409912109375,165.53086073233916,152.5455658905358,163.9009042252053,25616715
2007-11-30,168.24742126464844,173.3183793015459,161.18428683106575,161.18428683106575,23047035
2007-12-03,177.4838409423828,180.07365672515198,166.9796897270408,170.19432328307732,14578850
2007-12-04,189.98019409179688,191.06682731305747,176.7594507508016,178.70634851379742,22742860
2007-12-05,196.31890869140625,199.03549871808448,190.16130186747728,190.16130186747728,13806600
2007-12-06,197.4236297607422,200.59298436408892,190.34237941467995,190.34237941467995,8619680
2007-12-07,199.2165985107422,205.31987563934157,195.2322720674438,199.2165985107422,11182820
2007-12-10,194.42636108398438,201.02766899991366,192.25308069631288,199.51543549028662,5028390
2007-12-11,189.43687438964844,197.22443796396803,188.53134438413647,195.7846485713539,3990645
2007-12-12,187.78880310058594,192.51567048576788,184.0036807720014,186.53916736370397,3637865
2007-12-13,204.8580322265625,208.27188393202874,187.82501645140954,188.35022546896514,15317195
2007-12-14,200.48431396484375,206.44270235397443,199.41579531710542,200.14927232399185,5345960
2007-12-17,189.1199188232422,211.5317830994408,184.99975515244276,206.46081030195086,7024775
2007-12-18,189.1199188232422,189.1199188232422,189.1199188232422,189.1199188232422,0
2007-12-19,193.2219696044922,202.1142658129625,189.49117711494125,197.58661642728998,4228330
2007-12-20,192.00856018066406,196.2283329684835,190.34238842645482,196.2283329684835,3116440
2007-12-24,209.50335693359375,215.87828009379362,196.5452288287878,198.31100902237898,10304460
2007-12-26,217.30906677246094,219.8626677843271,207.90967557959948,212.79953163057758,7335155
2007-12-27,219.43707275390625,224.5714258728436,218.05161304644494,220.04377615766532,4887475
2007-12-28,226.21945190429688,230.72898625279103,212.79949419149676,215.40742432907777,5820690
2007-12-31,229.7872314453125,234.53221245531157,228.37460720267978,228.8002073036381,3686245
2008-01-01,234.86727905273438,238.87876976319296,228.86362538246811,231.63454458678936,2456740
2008-01-02,236.78700256347656,239.78430429456517,230.0045925169668,237.2940970921177,3519075
2008-01-03,231.05499267578125,238.10001358489077,228.40178311258254,236.34328351961102,2525290
2008-01-04,224.63485717773438,234.4960655369787,223.30372683341926,231.59837199800089,2753975
2008-01-07,222.2623291015625,231.6164553803979,220.0437834312488,224.5714332960893,3154815
2008-01-08,218.196533203125,227.28804908699618,214.61062802238285,224.57145885886476,2652495
2008-01-09,213.75030517578125,219.13820454896137,208.4529504893148,217.3271450072344,3137535
2008-01-10,203.11941528320312,217.2909669010286,201.02764336704223,214.61059224319374,2194030
2008-01-11,196.6539306640625,204.64976149930024,192.51566612316037,204.28755505896083,3084690
2008-01-14,187.4718475341797,196.02910202640396,186.7383705516018,196.02910202640396,4179580
